City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,Cayenne,GF,89.64,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
456,Darnah,LY,80.1,clear sky,32.767,22.6367,فندق الفردوس
457,Sinnamary,GF,86.32,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
460,Dinar,TR,84.16,clear sky,38.065,30.1656,Dinar Öğretmenevi
461,Carbonia,IT,88.75,clear sky,39.1672,8.5222,Lu 'Hotel
462,Contamana,PE,99.82,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
463,Mabaruma,GY,84.43,broken clouds,8.2,-59.7833,Monty Brooms Guest House
467,Claremore,US,89.42,broken clouds,36.3126,-95.6161,Super 8 by Wyndham Claremore OK
469,Barcelos,PT,83.91,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
474,Shelburne,CA,79.23,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
475,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
477,Muroto,JP,77.54,overcast clouds,33.2833,134.15,Oota Ryokan
481,Tweed,CA,81.57,scattered clouds,44.4751,-77.3162,Stoco Lake Lodge
482,Qazvin,IR,78.42,clear sky,36.2797,50.0049,MarMar Hotel
486,Cabo San Lucas,MX,91.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
488,Santa Cruz,BO,84.25,smoke,-17.8,-63.1667,Aviador Hotel Boutique
489,Fare,PF,76.41,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
495,Jaguaribe,BR,92.46,broken clouds,-5.8906,-38.6219,Hotel Pinheiro
498,Zaraza,VE,89.71,scattered clouds,9.3503,-65.3245,Hotel Zaraza
500,Hambantota,LK,79.05,broken clouds,6.1241,81.1185,Bungalow 63
503,Khargone,IN,77.92,overcast clouds,21.8167,75.6,SPOT ON 63187 Vallabha Hotel
504,Iralaya,HN,84.88,overcast clouds,15.0,-83.2333,Iglesia morava renovada
506,Kavieng,PG,81.93,light rain,-2.5744,150.7967,Nusa Island Retreat
508,Salinopolis,BR,84.49,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
509,Hutang,CN,75.02,scattered clouds,31.5333,119.4833,Dongyuan Restaurant
512,Usoke,TZ,79.72,overcast clouds,-5.1667,32.35,
513,Iberia,US,89.96,few clouds,29.9502,-91.7507,back to back rv park
514,Newton,US,82.99,broken clouds,42.337,-71.2092,Sheraton Boston Needham Hotel
515,Dubrovnik,HR,82.04,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
516,Zhuhai,CN,87.85,few clouds,22.2769,113.5678,珠海粤财假日酒店
517,Coari,BR,93.54,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
521,Natal,BR,86.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
525,Mahon,ES,84.76,few clouds,39.8885,4.2658,ARTIEM Capri
526,Minsk,BY,76.75,overcast clouds,53.9,27.5667,Minsk Hotel
528,Umm Kaddadah,SD,90.37,scattered clouds,13.6017,26.6876,
